rank,name,url,overallRating,easeOfUse,design,features,outputs,privacy,accountFriction,resultQuality,Progressive group reveal,Interactive assignment process,Manual post-generation editing,bestFor,pricing,tags
101,Eenie Meenie Random Team Generator,https://eeniemeenie.photonbuilder.com/team-generator,3.5,3.8,3.7,3.3,2.4,3.3,5.0,3.4,no,no,no,"Browser-side teams with captain mode, skill ratings, and local saved groups",Free web tool. No account is needed for the reviewed team-generator workflow.,constraints
102,EveryRandom Team Generator,https://everyrandom.com/team-generator,3.5,4.0,3.6,2.7,3.2,2.6,5.0,2.5,no,no,no,"Featureful random team generator with count/size modes, copy, download, shuffle, and history",Free web tool. No account required.,
103,FlameAI Random Team Generator,https://www.flameai.net/tools/random-team,3.5,3.8,3.5,2.4,3.2,2.4,5.0,2.6,no,no,no,"Privacy-framed random team splitter with count/size modes, copy, download, and share",Free web tool. No account required.,ai-assisted
104,Fly63 Random Group Tool,https://fly63.com/tool/team_group/,3.5,3.6,3.4,3.5,3.6,2.1,5.0,3.3,no,no,no,Chinese random grouping with mutually exclusive members and Excel export,Free web tool. No account required.,constraints
105,GroupMixes,https://groupmixes.com/group-generator,3.5,4.2,4.0,3.5,4.0,2.6,5.0,3.4,no,no,yes,Teachers who want quick mixed-ability classroom groups,"Free, ad-supported web tool. No sign-up required for the group generator.","constraints,strong-exports"
106,LiveCloud Groepjesmaker,https://basisonderwijs.online/groepjesmaker,3.5,3.2,3.4,3.9,3.4,3.0,4.2,3.5,no,no,no,Dutch classroom group maker with advanced keep-together/apart and board/PDF workflows,Free LiveCloud classroom tool; account optional for broader LiveCloud features.,constraints
107,OnlineRadDraaien Groepjesmaker,https://onlineraddraaien.nl/groepjesmaker/,3.5,3.9,3.5,2.6,3.3,2.4,5.0,2.4,no,no,no,"Dutch group maker with count/size modes, copy, CSV export, and sharing",Free ad-supported web tool. No account required.,strong-exports
108,PickerSpin Team Generator,https://pickerspin.co/team-generator/,3.5,4.3,4.0,2.4,2.4,2.6,5.0,2.4,no,no,no,"Polished team picker with paste/comma input, count/size modes, copy-all, and reshuffle",Free web tool. No account required.,
109,Playpass Golf Schedule Maker,https://playpass.com/sports-software/golf-schedule-maker,3.5,3.8,3.7,3.5,4.0,2.7,4.6,3.4,no,no,no,Golf rotating-partner and round-robin schedules,"Free public schedule generator with no signup required for the tested draft schedule. Playpass also sells broader sports-management features for registration, payments, memberships, bookings, waivers, websites, and publishing workflows.","multi-round,constraints,strong-exports"
110,RandoFox Random Team Generator,https://randofox.com/generators/random-teams,3.5,4.0,3.6,2.3,3.0,3.1,5.0,2.7,no,no,no,Polished random team generator with secure randomness claims and copy controls,Free web tool. No account required.,
111,Randomly Pick Team Generator,https://randomly-pick.com/en/team-generator/,3.5,4.1,3.6,3.4,3.4,3.1,5.0,3.5,no,no,no,Excel-friendly random or score-balanced team splitter with CSV output,Free browser tool. No account required.,strong-exports
112,RandomlyFun Random Pair Generator,https://randomlyfun.app/tools/random-pair-generator,3.5,4.0,3.7,2.5,2.8,2.6,5.0,2.8,no,no,no,"Fast random partner/pair generator with odd-person handling, copy, and share",Free ad-supported web tool. No account required.,
113,RandomTeamMaker.click,https://randomteammaker.click/,3.5,4.0,3.5,2.7,2.3,4.8,5.0,2.5,no,no,no,Private in-browser pair/group generator with group-size and leftovers policies,Free web tool. No account required.,privacy-friendly
114,RobinDraw,https://robindraw.com/generator,3.5,4.0,3.5,3.3,3.9,2.4,4.5,3.4,no,no,no,Instant browser round-robin schedule generator with CSV/PDF/share/live outputs,Free web tool.,"multi-round,strong-exports"
115,TheToolApp Team Generator,https://thetoolapp.com/generators/team-generator/,3.5,3.9,3.8,3.1,2.4,3.0,5.0,2.8,no,no,yes,"Modern team generator with paste, count/size modes, captains, colors, and drag/drop examples",Free web tool. No account required.,
116,ToolsZone Random Team Generator,https://www.toolszone.net/en/tools/random-team-generator,3.5,3.9,3.7,2.6,3.0,2.6,5.0,2.8,no,no,no,"Polished random team generator with count/size modes, regenerate, and copy-all output",Free ad-supported web tool. No account required.,
117,Writing in the Stream Smart Group Generator,https://writinginthestream.com/wp-content/uploads/2026/03/randomgroupgenerator.html,3.5,3.2,2.8,3.6,2.9,4.8,5.0,3.0,no,no,yes,"Teacher-owned local HTML grouping with attendance, class storage, drag/drop, and JSON import/export",Free. No account is required.,"constraints,privacy-friendly"
118,AlhazApp Group Generator,https://alhazapp.com/en/groups,3.4,3.8,3.4,2.8,2.2,3.2,4.5,2.6,no,no,no,"Random group splitter with optional group heads, reshuffle, share, and saved-list account option",Free web tool. Optional account for saved lists.,
119,Classroom Toolkit Group Generator,https://classroomtoolkit.co.uk/group-generator,3.4,4.0,3.4,2.4,1.2,4.3,5.0,2.4,no,no,no,Privacy-friendly classroom group generator with saved list and count/size modes,Free web tool. No account required.,privacy-friendly
120,Decidable Team Divider,https://decidable-tools.com/en/team-divider,3.4,3.8,3.4,2.7,2.0,2.6,5.0,2.6,no,no,yes,"Team divider with single/bulk add, leader support, and re-division",Free ad-supported web tool. No account required.,
121,GetRandomNumber Random Team Generator,https://www.getrandomnumber.com/team-generator/,3.4,3.5,3.4,3.2,2.8,2.0,5.0,2.8,no,no,no,"Advanced team generator with save/load lists, size bounds, seed, balance mode, history, copy, and text export claims",Free ad-supported web tool. No account required.,
122,GolfSoftware Play All Schedule Generator,https://www.golfsoftware.com/tools/schedule/playall.html,3.4,3.0,1.8,3.5,2.8,4.6,5.0,4.0,no,no,no,Golf groups that need multi-event pairings from preset golfer counts and group sizes,Free web calculator. No account required.,"multi-round,constraints,privacy-friendly"
123,Groupformer,https://groupformer.com/,3.4,2.8,3.0,3.5,1.5,2.8,3.0,3.4,no,no,no,Danish group former for repeated groups with gender/min-same-gender and host rotation use cases,Free web tool according to the page. Browser access may be protected by a security check.,
124,GroupGuru Online,https://www.groupguruonline.com/,3.4,2.4,3.4,3.6,1.2,3.8,1.5,3.0,no,no,no,Organizer-led classroom/activity group maker with participant join codes and criteria-based grouping,Account required for organizers; participant join code flow. Pricing not shown in the reviewed page.,"constraints,self-join"
125,Kuakua Random Group Generator,https://kuakua.app/tools/random-group-generator,3.4,4.1,3.8,2.4,2.6,2.2,4.8,2.4,no,no,no,"Polished random group generator with count/size modes, reshuffle, and copy results",Free ad-supported web tool. Login link present but not required for basic use.,
126,LoCo Disc Golf Team Generator,https://www.locodiscgolf.com/teams/,3.4,3.8,3.2,2.4,2.5,4.5,5.0,2.7,no,no,no,"Disc-golf team generator with team-size mode, output format choice, reset, and copy",Free web tool. No account required.,privacy-friendly
127,MultiPicker Team Picker,https://multipicker.com/team-picker,3.4,3.7,4.3,3.2,2.0,3.2,5.0,2.8,no,no,no,"Simple teams where gender distribution, representatives, and custom team names matter",Free web tool. No account required.,constraints
128,Randomara Classroom Group Generator,https://randomara.com/random-team-generator/for-classroom/,3.4,4.0,3.4,2.2,2.3,3.2,5.0,2.6,no,no,no,Classroom random team generator with copy and fullscreen controls,Free web tool. No account required.,
129,RandomGroupGenerator.net,https://randomgroupgenerator.net/,3.4,4.3,3.8,3.0,4.2,2.7,5.0,2.4,no,no,no,Polished one-off random groups with CSV/Excel-style exports,Free. No account is required.,strong-exports
130,Sorteio Random Team Generator,https://sorteio.com/random-team-generator,3.4,4.0,3.5,2.6,2.4,3.4,5.0,2.5,no,no,no,"Random team generator with team-count/participants-per-team modes, leaders, and copy result",Free web tool. No signup required for basic use.,
131,SpacebarCount Team Generator,https://www.spacebarcount.com/randomizers/team-generator/,3.4,4.0,3.6,3.0,2.8,4.2,4.8,2.4,no,no,no,Polished browser-local team cards with bench and dedupe options,Free. No account is required; the broader Spacebar Count site has account/pro navigation.,privacy-friendly
132,SpinRandomTool Team Generator,https://spinrandomtool.com/team-generator/,3.4,3.9,3.5,2.5,2.6,4.0,5.0,2.5,no,no,no,"Local browser team generator with presets, history, copy, and no-upload claim",Free web tool. No account required.,privacy-friendly
133,Strategic Group Maker,https://workspace.google.com/marketplace/app/strategic_group_maker/997854293694,3.4,2.5,2.8,4.0,4.2,2.2,1.5,3.8,no,no,no,Google Sheets add-on for strategic classroom groups and Zoom breakout export,Google Workspace Marketplace add-on. Pricing is not shown; installation and Google account permissions are required.,"constraints,strong-exports"
134,TeamGenerator.net Team Generator,https://www.teamgenerator.net/team-generator,3.4,3.0,3.8,3.6,3.2,1.4,5.0,3.6,no,no,no,Sports and game teams balanced by skill ratings and roles,Free ad-supported web tool. No account is required.,constraints
135,TimeTiki Group Generator,https://timetiki.com/group-generator/,3.4,4.0,3.5,2.6,2.6,2.7,5.0,2.4,no,no,no,"Group-size generator with list utilities, copy, recent groups, and history",Free ad-supported web tool. No account required.,
136,Toolora Team Generator,https://toolora.info/en/t/team-generator/,3.4,4.3,3.8,2.5,2.3,4.4,5.0,2.8,no,no,no,Private browser-side random teams with copy and settings share,Free browser tool. No account or paid tier is needed for the team generator.,privacy-friendly
137,TXToolbox Smart Team Splitter,https://www.txtoolbox.com/tool/team-splitter,3.4,3.2,3.6,3.5,1.8,2.8,5.0,3.2,no,no,no,Balanced team splitter with skill levels and greedy balancing algorithm,Free browser-based web tool. No account required for the tool.,constraints
138,VMaths Générateur d’Équipes Aléatoires,https://www.vmaths.fr/apps/generateur-equipes-aleatoires.html,3.4,3.4,3.5,2.8,2.4,3.8,5.0,2.7,no,no,no,"French random team generator with TXT/CSV import, 2-20 teams, copy controls, and Fisher-Yates documentation",Free web tool. No account required.,
139,AI225 Team Generator,https://tools.ai225.com/en/tools/team-generator/,3.3,3.8,3.2,3.2,3.4,2.4,5.0,2.3,no,no,no,"Browser-side random teams with import, exclude toggles, history, copy, and export",Free. No account is required.,ai-assisted
140,Calculation Support Random Group Generator,https://www.calculation.support/en/work-school/random-group-generator,3.3,3.7,3.2,2.6,3.2,3.8,5.0,2.4,no,no,no,"Random group generator with placeholders, file import, and Excel download",Free web tool. No account required.,
141,ClassInteractives Formgroup Creator,https://groupings.classinteractives.co.uk/,3.3,2.0,1.8,3.7,3.2,3.8,5.0,3.6,no,no,yes,UK-style form/class allocation using friends and must-avoid relationships,Free. No account is required.,"constraints,strong-exports"
142,Clock Buddies Generator,https://clockbuddies.skillsconverged.com/,3.3,3.2,2.7,3.0,2.0,2.6,5.0,2.8,no,no,no,Training/classroom clock-buddies partner generator with duplicate checks and themed labels,Free web tool. No account required.,
143,CodersTool Random Group Generator,https://www.coderstool.com/random-group-generator,3.3,3.8,3.6,3.4,4.0,1.1,5.0,2.5,no,no,no,"Reusable random groups with seed, history, sharing, TXT/CSV, and saved lists",Free. No account is required.,"constraints,strong-exports"
144,DateRounds,https://daterounds.com/,3.3,3.3,3.2,3.7,2.2,2.5,4.7,3.5,no,no,no,Small free speed-dating or networking rotation events,Free host event with no signup or credit card for up to six attendees. Larger events require paid event packs or subscriptions.,"multi-round,constraints,self-join"
145,DRAW-LOTS Team Generator,https://www.draw-lots.com/teams-generate/,3.3,3.4,3.3,2.9,1.7,2.3,5.0,2.7,yes,no,no,"Team generator with seed/skill seeding controls, group sizing, and configurable picking",Free ad-supported web tool. No account required.,constraints
146,FreeClassroomTools Group Generator,https://www.freeclassroomtools.com/tools/group-generator,3.3,4.0,3.6,2.0,1.4,4.0,5.0,2.3,no,no,no,Teacher-focused random group generator with reshuffle and classroom display styling,Free web tool. No account required.,privacy-friendly
147,FreeToolly Random Group Picker,https://freetoolly.com/en/tools/random-group-picker,3.3,3.7,3.2,2.7,2.8,3.0,5.0,2.4,no,no,no,"Random group picker with count/size modes, leader/vice-leader assignment, and CSV export",Free web tool. No account required.,
148,Lembog Random Group Generator,https://lembog.com/tools/random-group-generator,3.3,4.1,3.6,2.1,2.4,2.8,5.0,2.3,no,no,no,Clean random group generator with quick group-count buttons and copy-all output,Free ad-supported web tool. No account required.,
149,MatchBalancer Volleyball Team Generator,https://matchbalancer.com/volleyball-team-generator,3.3,2.4,3.7,4.0,3.0,2.1,1.5,4.0,no,no,no,"Volleyball team balancing by skill, position, roster, and match history",Free trial with 4 matches and unlimited players; Pro unlocks unlimited matches and CSV export. Sign-in is required.,constraints
150,PickWinner Random Team Generator,https://pickwinner.tools/tools/random-team-generator,3.3,4.1,3.6,2.8,2.5,4.2,5.0,2.7,no,no,no,Clean privacy-friendly random team cards with shareable URLs,Free web tool; source linked on GitHub.,privacy-friendly
151,QuickRandomizer Random Team Generator,https://www.quickrandomizer.com/random-team-generator,3.3,3.8,3.6,2.3,2.4,3.2,5.0,2.5,no,no,no,Modern Fisher-Yates team generator with copy-all and history,Free web tool. No account required.,
152,RandAnimal Random Group Generator,https://randanimal.com/random-group-generator.html,3.3,3.8,3.3,2.3,2.7,2.5,5.0,2.4,no,no,no,"Random group generator with title, find, save, and print controls",Free web tool. No account required.,
153,Random Media Hub Random Team Generator,https://www.randommediahub.com/random-team-generator,3.3,3.9,3.5,2.2,2.2,4.0,5.0,2.4,no,no,no,"Clean random team generator with count/size modes, quick team counts, shuffle, and copy",Free web tool. No account required.,privacy-friendly
154,Random-Group-Generator.com,https://random-group-generator.com/,3.3,4.1,4.0,3.3,4.0,1.7,4.2,3.0,no,no,yes,Single-session browser grouping with copy/export/share controls and lightweight balance modes,Free for basic generation. Saving/history uses login. The page advertises optional sync/account features rather than a clearly priced paid plan.,"constraints,strong-exports"
155,Random.GG Team Generator,https://www.random.gg/team-generator/en,3.3,3.5,3.8,2.8,2.2,1.8,5.0,2.4,no,no,no,Character-themed team generator with API access,Free ad-supported web tool. No account required.,
156,Randommer Random Team Generator,https://randommer.com/random-team-generator/,3.3,3.7,3.2,2.5,2.8,4.0,5.0,2.4,no,no,no,"Random team generator with duplicate removal, split-by-space, copy, and text download",Free web tool. No account required.,privacy-friendly
157,RandomOS Group Generator,https://randomos.co.uk/tools/group-generator/,3.3,3.9,3.6,2.2,1.6,4.6,5.0,2.4,no,no,no,Clean random group generator with count/max-size modes and share link,Free web tool. No account required.,privacy-friendly
158,Spin of Wheel Team Generator,https://spinofwheel.com/team-generator,3.3,4.0,3.6,2.0,2.3,2.8,5.0,2.3,no,no,no,Polished team generator with copy-all and balanced-size claims,Free web tool. No account required.,
159,Sport Scheduler Pro Free Schedule Generator,https://sportschedulerpro.com/create,3.3,3.9,3.6,3.4,4.3,2.6,4.7,3.1,no,no,no,Free round-robin team schedules with links and exports,"Free schedule generator with no signup required for the tested workflow. Pro features are advertised for deeper league management, extra edits, and larger/managed workflows.","multi-round,constraints,strong-exports"
160,The Teaching Couple Classroom Toolkit,https://theteachingcouple.com/tools/,3.3,3.5,2.8,3.4,2.9,1.9,4.6,3.2,no,no,no,"Teacher classroom selector/grouper with tags, exclusions, import/export, and print",Free web tool. No account observed.,constraints
161,Tirage-au-Sort.com Créateur d’Équipes,https://www.tirage-au-sort.com/tirage-equipes,3.3,4.0,3.6,2.8,2.9,3.0,5.0,3.0,no,no,no,Simple French crypto-random team creator with projection mode,Free browser tool. No account required.,
162,WebRandom Random Team Generator,https://www.webrandom.com/,3.3,4.0,3.4,2.8,3.8,4.0,5.0,2.2,no,no,no,"No-account random teams with custom names, copy, text download, and share link",Free. No account is required.,privacy-friendly
163,Wooclap Team Picker,https://tool.wooclap.com/en/free-group-maker,3.3,4.8,4.4,2.4,4.8,4.2,5.0,2.1,no,no,no,Polished simple random teams with strong export options,Free standalone group-generator page. No account is required for this specific free team picker; do not confuse it with Wooclap’s broader paid audience-engagement product.,"privacy-friendly,strong-exports"
164,Yuesha Random Group Tool,https://suiji.yuesha.com/fenzu/,3.3,3.9,3.3,3.0,2.8,3.1,5.0,3.1,no,no,no,"Chinese browser-local random group generator with file import, leaders, and copy output",Free browser tool. No account required.,
165,Any One Will Do,https://anyonewilldo.com/,3.2,3.0,3.8,2.7,2.8,4.2,5.0,2.6,no,no,no,Privacy-friendly browser-only random picker and group drafter,Free browser tool. No account required; support/donation links are separate.,privacy-friendly
166,AnyOnlineTool Group Generator Tool,https://anyonlinetool.com/en/tool/group-generator-tool,3.2,3.3,3.2,2.6,3.6,2.6,3.4,2.3,no,no,no,"Credit-based group generator with copy, CSV, PDF, API, and embed controls",Free guest credits with account/credit model. Registration available.,strong-exports
167,ClassroomTools.app Group Maker,https://www.classroomtools.app/tools/group-maker?names=Alice%2CBob%2CCharlie%2CDiana%2CEmma%2CFrank%2CGrace%2CHenry&groups=2,3.2,3.8,3.6,2.0,1.6,4.2,5.0,2.2,no,no,no,Free no-tracking teacher group maker with URL-prefill and embed controls,Free web tool. No account required.,privacy-friendly
168,ClassSeats,https://app.classseats.app/,3.2,2.6,3.7,3.7,1.2,4.3,3.8,2.7,no,no,no,"Teacher classroom-management app with local class files, student import, seating, attendance, and group generation",Early-access app; sign-in unlocks Pro free until 2026-09-01. Local/explore mode available without signing in.,privacy-friendly
169,DecisionFlip Random Team Generator,https://decisionflip.com/random-team-generator,3.2,4.0,3.2,2.8,2.8,2.0,5.0,3.2,no,no,no,Skill-aware random team maker with saved configurations and copy output,Free ad-supported web tool. No account required for the generator.,constraints
170,Der Zufallsgenerator Gruppen Zufall,https://derzufallsgenerator.de/gruppen-zufall,3.2,3.5,3.2,2.8,1.2,1.7,5.0,2.6,no,no,no,German random group/team generator with group names and group-leader options,Free ad-supported web tool. No account required.,
171,DigitaleTools Groepjesmaker,https://digitaletools.nl/tools/groepjesmaker/,3.2,3.6,3.5,2.2,2.0,3.0,5.0,2.3,no,no,no,Dutch classroom group maker with count/participants modes and sharing,Free web tool. No account required.,
172,FastRounds,https://fastrounds.com/,3.2,3.4,3.2,3.4,2.3,2.6,4.7,3.4,no,no,no,Small free speed-networking round rotation events,Free host event with no signup or credit card for up to six attendees. Larger events require paid event packs or subscriptions.,"multi-round,constraints,self-join"
173,Flipiffy Random Group Generator,https://flipiffy.com/random-tools/group-generator/,3.2,3.3,2.9,3.3,3.3,0.9,5.0,2.7,no,no,no,"Basic random groups with leaders, exclusions, saved list, CSV, and copy",Free. No account is required.,"constraints,strong-exports"
174,Grouperapp.net,https://grouperapp.net/,3.2,2.8,3.7,3.6,3.0,2.4,1.8,3.2,no,no,no,Google Classroom teachers who want paid group history and preferences,"14-day free trial, then advertised at $6.99/month on the Professional plan.","constraints,strong-exports"
175,Groupify.it,https://groupify.it/,3.2,3.3,3.0,2.8,1.4,3.0,5.0,2.5,no,no,no,"Classroom peer-group tool with roster upload, sex field, group-size/count modes, and animation controls",Free web tool. No account required.,
176,Keamk,https://www.keamk.com/random-team-generator,3.2,2.9,2.0,3.4,4.3,1.0,4.0,3.1,no,no,no,Random teams with basic gender or skill balancing,"Free basic team generator with optional account/admin features for saving and managing groups. The free workflow is usable, but persistence and classroom-management convenience depend more on the account side.","constraints,strong-exports"
177,ParTeeOf18 Randomizer,https://parteeof18.com/randomizer/,3.2,2.6,3.4,4.0,2.0,1.8,2.0,3.5,no,no,no,Productized golf pairing randomizer with random/manual/handicap/AB/ABCD and multi-round league ambitions,Product/app feature; login/membership links present.,constraints
178,PrepPanel Classroom Group Generator,https://preppanelclassroom.com/,3.2,3.0,3.8,3.8,2.6,2.9,2.8,3.7,no,no,no,Chrome-extension classroom tool with ability-balanced groups and relationship rules,Free Chrome extension. No paid plan was required by the public landing page.,constraints
179,PrintYourBrackets Round Robin Generator,https://www.printyourbrackets.com/round-robin-generator.php,3.2,3.3,2.0,3.3,4.0,1.2,5.0,3.6,no,no,no,"Tournament organizers who need printable round-robin schedules, pools, Excel export, and share links",Free web generator. No account required for the printable schedule flow. The site promotes a free online tournament manager as a separate upgrade path/workflow.,"multi-round,constraints,strong-exports"
180,Pudone Random Grouper,https://pudone.com/random-grouper/,3.2,3.2,3.5,2.8,2.8,3.6,5.0,2.5,no,no,no,"Privacy-first random group generator with count/size modes, custom group names, animation, copy, and download claims",Free web tool. No account required.,
181,RandomPickerTool Team Generator,https://randompickertool.com/team-generator,3.2,4.0,3.5,2.0,2.3,4.5,5.0,2.3,no,no,no,"Clean no-tracking team generator with count/size modes, rebalance, and copy",Free web tool. No account required.,privacy-friendly
182,RandomTeamBuilder.com,https://randomteambuilder.com/,3.2,3.5,3.1,3.4,1.8,1.5,3.8,2.7,no,no,yes,Visual random teams with drag-and-drop adjustment and exclusion-rule claims,Free for the visible randomizer. Account/login surfaces exist for list/account features.,constraints
183,RandoTeams,https://www.randoteams.com/,3.2,3.6,3.7,2.4,1.8,2.7,5.0,2.4,no,no,yes,Wheel-style random team splitter with split-all and drag-and-drop claims,Free ad-supported web tool. No account required.,
184,Raugen Random Team Generator,https://raugen.com/toolbox/random-team-generator,3.2,4.0,3.7,2.7,3.2,2.5,4.8,2.3,no,no,no,"Quick random teams with custom team names, copy-all output, basic stats, and local generation history",Free web tool. No account required for team generation; sign-in exists for the broader RauGen site.,ai-assisted
185,ScoreKeeperCo Random Team Generator,https://www.scorekeeper.co/random-team-generator,3.2,3.8,3.7,1.9,1.0,3.6,4.8,2.3,no,no,no,Sports-oriented random team generator with reshuffle and scoreboard/bracket links,Free web tool. Account links for ScoreKeeperCo are present but not required for generator.,
186,slack-meetups,https://github.com/liddiard/slack-meetups,3.2,1.8,2.3,3.5,2.2,2.6,1.9,3.4,no,no,no,Open-source Slack bot for recurring random 1:1 meetup rounds,"Free open-source Slack bot. Requires server, Slack app, database/task queue setup.",multi-round
187,Slumpgenerator Random Team Generator,https://slumpgenerator.com/random-team-generator,3.2,3.7,3.4,2.4,1.4,2.0,5.0,2.4,no,no,no,"No-account team randomizer with paste input, group-count/size modes, optional names, and leaders",Free ad-supported web tool. No account required.,
188,Sorteador de Bingo Sorteador de Times,https://www.sorteadordebingo.com.br/ferramentas/sorteador-times,3.2,3.3,3.2,3.2,2.4,2.0,4.8,3.0,no,no,no,Portuguese sports team sorter with optional positions and skill levels,Free web tool. No account required.,constraints
189,Speed Friending and Dating Matcher,https://github.com/machinekoder/speed-friending-and-dating-matcher,3.2,2.0,2.2,3.4,3.4,4.0,2.8,3.2,no,no,no,Open-source CLI/server matcher for speed-friending and speed-dating events,Free open-source Python package. Requires install/CLI or server setup.,
190,Stilest Random Team Generator,https://www.stilest.com/tools/random-team-generator,3.2,4.0,3.4,2.0,2.2,2.8,5.0,2.3,no,no,no,Clean comma/newline team splitter with regenerate and copy controls,Free ad-supported web tool. No account required.,
191,TeachTools Team Generator,https://www.teach-tools.org/,3.2,4.0,3.2,2.8,2.8,2.5,5.0,2.9,no,no,yes,"No-login teacher team generator with leaders, drag-and-drop, shuffle, and print",Free web tool. No login required.,
192,TeamCreator,https://unitedwetransform.com/team-creator/,3.2,4.0,4.2,3.1,4.0,4.5,5.0,2.2,no,no,no,Simple browser-local grouping with hard pair rules and CSV export,Free public browser tool; no account or payment was required. The site links open noncommercial code and a hosted MCP workflow.,"multi-round,constraints,privacy-friendly,strong-exports"
193,Tekscape Random Group Generator,https://tekscape.io/tools/school/random-group-generator,3.2,3.6,3.3,2.2,1.8,2.8,4.4,2.5,no,no,no,School random group generator with generated output and share/save actions,Free web tool; Pro labels shown for save/load actions. No account needed for generation.,
194,TextGround Random Group Generator,https://www.textground.com/tools/random-group-generator/,3.2,3.8,3.3,2.8,3.4,2.0,5.0,2.2,no,no,no,"Simple group splitting with bulk import, reshuffle, copy, and download",Free. No account is required.,
195,TienIchHay Random Group Generator,https://tienichhay.net/random-group.html,3.2,3.6,2.9,2.6,3.0,1.5,5.0,2.4,no,no,no,Vietnamese/English random group generator with leader selection and CSV export,Free ad-supported web tool. No account required.,strong-exports
196,Wordstopia Team Picker,https://www.wordstopia.com/wheel-team-picker.html,3.2,3.7,3.3,2.4,2.2,2.0,5.0,2.4,no,no,no,"Team picker with spin-for-first-turn, copy results, samples, and 2–8 teams",Free ad-supported web tool. No account required.,
197,YTool Random Group Generator,https://ytool.net/group/,3.2,3.8,2.8,2.2,3.1,3.0,5.0,2.2,no,no,no,"Multilingual random group tool with paste input, copy, TXT export, and Excel export",Free web tool. No account required.,
198,afreetools Smart Team Generator,https://afreetools.com/smart-team-generator,3.1,3.2,2.7,3.3,1.8,0.8,5.0,3.0,no,no,no,"Small smart-team experiments with skill, role, avoid-pair, and share-link controls",Free. No account is required.,constraints
199,AppSorteos Random Teams Generator,https://app-sorteos.com/en/apps/random-teams-generator,3.1,4.6,3.9,2.4,4.0,2.0,4.6,2.1,no,no,no,Polished free random teams with leaders and share/export buttons,The random team generator is free and works without an account. AppSorteos also has paid plans for its broader giveaway/promotion platform; saving or sharing results directly from the app requires login/account creation.,strong-exports
200,Buchstaben.com Zufallsgruppen-Generator,https://www.buchstaben.com/zufallsgeneratoren/zufallsgruppen-generator,3.1,3.3,3.0,2.8,1.0,1.6,5.0,2.4,no,no,no,"German random group generator with group-count/size, leaders, and distribution settings",Free ad-supported web tool. No account required.,
201,Calculop Random Class Group Generator,https://calculop.com/en/calculators/random-tools/random-class-group-generator,3.1,3.4,3.1,2.0,1.2,2.6,5.0,2.5,no,no,no,Random class group calculator with crypto-randomness explanation and similar random-tools variants,Free ad-supported web tool. No account required.,
202,Drawrilla Random Team Generator,https://drawrilla.com/tools/random-team-generator/,3.1,3.6,3.0,2.1,2.8,2.4,5.0,2.2,no,no,no,"Team generator with number-of-teams/member-per-team modes, generated lists, copy, and download",Free web tool. No account required.,
203,Elysia Tools Random Group Generator,https://elysiatools.com/en/tools/random-group-generator,3.1,3.4,3.2,2.6,1.8,4.0,5.0,2.3,no,no,no,"Tool/API random group generator with separators, empty-group/order options, and prefix controls",Free web tool. No account required for page use.,privacy-friendly
204,FateFactory Team Splitter,https://www.fatefactory.org/en/team-splitter,3.1,3.0,3.8,2.9,3.7,4.0,5.0,2.2,no,no,no,"Ad-light random teams with file import, local templates, sharing, and QR output",Free. No account is required.,privacy-friendly
205,FlipACoinOnline Random Team Generator,https://flipacoinonline.com/random-team-generator/,3.1,3.8,3.2,2.1,3.3,1.8,5.0,2.5,no,no,no,Random teams with CSV download and team label styles,"Free, ad-supported web tool. No account is needed.",strong-exports
206,GenKit Random Group Generator,https://gen-kit.com/tools/random-group-generator/,3.1,3.8,3.3,2.2,2.6,2.8,5.0,2.2,no,no,no,"Browser-side random group generator with sample data, reshuffle, copy, share, and bookmarks",Free ad-supported web tool. No account required.,
207,Group Generator Project,https://group-generator-project.netlify.app/,3.1,3.5,3.4,2.0,2.2,4.2,5.0,2.5,no,no,no,Indonesian random group generator with theme toggle and image download,Free static web tool. No account required.,privacy-friendly
208,Kalkulator Random Group Generator,https://kalkulator.com.ua/en/calculators/random-group-generator/,3.1,3.6,3.1,2.6,2.7,1.7,5.0,2.3,no,no,no,"Group division calculator with count/size modes, copy, print, statistics, and history",Free ad-supported web calculator. No account required.,
209,LottoNames Team Generator,https://lottonames.app/en/team/,3.1,3.6,3.7,1.9,1.0,2.8,5.0,2.2,yes,no,no,Visual team picker with animated draw and team-count controls,Free web tool. No account required.,
210,Mate.tools Random Team Generator,https://mate.tools/random-team-generator,3.1,3.8,3.3,2.6,2.5,2.0,5.0,2.2,no,no,no,"Simple browser-side teams with by-count/by-size modes, organizer selection, and copy",Free. No account is required.,
211,PickerKit Team Picker,https://pickerkit.com/team-picker,3.1,3.2,3.8,2.8,3.0,2.4,5.0,2.3,yes,no,no,"Polished random teams with representatives, share, and save/load file controls",Free. No account is required.,
212,RandGenerator Random Group Generator,https://www.randgenerator.com/group.html,3.1,3.7,3.2,1.8,2.0,3.0,5.0,2.2,no,no,no,Simple random group generator with copy results,Free web tool. No account required.,
213,Randomly Random Group Generator,https://randomly.group/random-group,3.1,3.4,3.2,2.5,2.4,1.6,5.0,2.2,no,no,no,"Random group generator with single entry, bulk import, file upload, copy/export claims, and multilingual UI",Free ad-supported web tool. No account required.,
